mrca;cnp;nume si prenume;Salariu brut; Vechimea; CASS; CAS, Impozit; Salariu net 
35; 545;ldkl;null;2500;250;625;162;1463 
36; 545;ldkl;null;265;26;66;17;156 
37; 545;ldkl;null;2650;265;662;172;1551 
38; 25211;/bhhjv;null;26542;2654;6636;1725;15527 
39; 25211;/bhhjv;null;26542;2654;6636;1725;15527 
40; 252;tvt;null;2500;250;625;162;1463 
41; 2525;knhb;null;2556;256;639;166;1495 
42; 252;khgcg;null;25695;2570;6424;1670;15031 
43; 256;tytt;null;654;65;164;42;383 
44; 256;jjhg;null;262;26;66;17;153 
45; 123;vasile;null;2600;260;650;169;1521 
46; 321;as;null;2600;260;650;169;1521 
47; 321;NINO;null;2600;260;650;169;1521 
48; 123;VSI;null;2600;260;650;169;1521 
49; 321;LOP;null;2600;260;650;169;1521 
50; 36;kjk;null;2633;263;658;171;1541 
51; 236;jur;null;2688;269;672;175;1572 
52; 65;klo;null;2420;242;605;157;1416 
53; 568;lopo;null;2150;215;538;140;1257 
54; 365;ion;null;5420;542;1355;352;3171 
55; 456;lklo;null;2600;260;650;169;1521 
56; 45;lklk;null;589;59;147;38;345 
57; 51;`lko`;null;25698;2570;6424;1670;15034 
58; 123;kjk;null;2562;256;640;167;1499 
59; 252;ion;null;25265;2526;6316;1642;14781 
60; 2525;iuoju;null;9568;957;2392;622;5597 
61; 2365;mfxkg;null;5698;570;1424;370;3334 
62; 565;uio;null;2562;256;640;167;1499 
63; 256;oiu;null;2652;265;663;172;1552 
64; 6595;poiu;null;569;57;142;37;333 
65; ;;null;5900;590;1475;384;3451 
66; 236;kkk;null;569;57;142;37;333 
67; ,v,nh;b . nbn;null;5622;562;1406;365;3289 
68; nvbn;25611;null;6598;660;1650;429;3859 
69; 31;ojj;null;8521;852;2130;554;4985 
70; 333fvcc;ccc;null;5252;525;1313;341;3073 
71; wss;xxxxz56;null;658;66;164;43;385 
72; ,;b,n;null;562;56;140;37;329 
73; 236;kcfkg;null;5800;580;1450;377;3393 
74; 125;opkn;null;5697;570;1424;370;3333 
75; 125;opkn;null;1000;100;250;65;585 
76; 42569;poiu;null;10000;1000;2500;650;5850 
77; 2554;, vk,hv.h;null;10000;1000;2500;650;5850 
78; 252;oopo;null;10000;1000;2500;650;5850 
79; 2564;noi;null;10000;1000;2500;650;5850 
80; 12;m xc;null;569558;56956;142390;37021;333191 
81; 2565`;kbdm;null;5420;542;1355;352;3171 
82; 6585;jiunb;null;6589;659;1647;428;3855 
83; 11.05.2020;azi;null;10000;1000;2500;650;5850 
84; 525;oiu;null;1000;100;250;65;585 
85; 85 656;tulai;null;6589;659;1647;428;3855 
86; 25654;wert;null;5825;583;1456;379;3407 
87; 45121;opiu;null;2525;253;631;164;1477 
88; 5698;jvyy;null;10000;1000;2500;650;5850 
89; 454; hflj.gj;null;58564;5856;14641;3807;34260 
90; 252;lk,;null;5800;580;1450;377;3393 
91; 56;lko;null;58922;5892;14731;3830;34469 
92; 5854;jui;null;2562;256;641;167;1498 
93; 565;v.hj;null;898;90;225;58;525 
94; ;oip;null;546;55;137;35;319 
95; ;;null;4568;457;1142;297;2672 
96; ;nk;null;4;0;1;0;3 
97; 25;lhg ;null;569;57;142;37;333 
98; 64,bv ;.vv.j;null;256;26;64;17;149 
99; 177071113400;sorin;-18;5420;542;1355;352;3171 
100; 11077725695;soso;0;2505;251;626;163;1465 
101; 589841914;tyty;18;8956;896;2239;582;5239
